autor_original	autor_normalizado
Verapoor (Simoni)	Verapoor (Simoni)
Verde (D. Francisco)	Verde (D Francisco)
Vergara (D. Cayetano)	Vergara (D Cayetano)
Vergara (F. Francisco Ruiz)	Vergara (F Francisco Ruiz)
Vergara (Juan)	Vergara (Juan)
Verini (Micaelis)	Verini (Micaelis)
Vermuleyo (Nicolás)	Vermuleyo (Nicolás)
Vernen (M.)	Vernen (M.)
Vertelunga (F. Batista)	Vertelunga (F Batista)
Vertrani (Ciranci)	Vertrani (Ciranci)
Verzolae (Joannis)	Verzolae (Joannis)
Vetancourt (R. P. F. Augustín de)	Vetancourt (R P F Augustín de)
Veveregio (Guilielmo)	Veveregio (Guilielmo)
Viago (J. Francisco)	Viago (J Francisco)
Vicente Thomas (D. Josef)	Vicente Tomás (D Josef)
Vicho (Enecio)	Vicho (Enecio)
Victoriae (P. Fr. Agustin de)	Victoriae (P Fr Agustin de)
Victoriae (P. Francisci)	Victoriae (P Francisco)
Victorii (Petri)	Victorii (Pedro)
Vidania (Diego Vincentio de)	Vidania (Diego Vincentio de)
Vienna (Realis de)	Vienna (Realis de)
Vigelii (Nicolaï)	Vigelii (Nicolaï)
Viglius (Theofili)	Viglius (Theofili)
Vilchii (Joa.)	Vilchii (Joa.)
Villa (F. Esteban de)	Villa (F Esteban de)
Villa Real (D. Pedro)	Villa Real (D Pedro)
Villa Rubea (Aldovinus)	Villa Rubea (Aldovinus)
Villa Sánchez (Jacobi Castillo aliade)	Villa Sánchez (Jacobo Castillo aliade)
Villacastin (F. Thomas)	Villacastin (F Tomás)
Villadiego (Eundisalis)	Villadiego (Eundisalis)
Villafañe (F. de Arphe)	Villafañe (F de Arphe)
Villafañe (F. Juan de)	Villafañe (F Juan de)
Villagomez (Illmo. D. Pedro)	Villagomez (Illmo D Pedro)
Villagra (El Capellan Gaspar de)	Villagra (El Capellan Gaspar de)
Villagutierre (D. Juan)	Villagutierre (D Juan)
Villalobos (D. Francisco)	Villalobos (D Francisco)
Villalobos (D. Simon)	Villalobos (D Simon)
Villalobos (Joanne Baptista)	Villalobos (Joanne Baptista)
Villalobos (Joannis)	Villalobos (Joannis)
Villalobos y Benavides (D. Diego)	Villalobos y Benavides (D Diego)
Villalpando (Jacobi)	Villalpando (Jacobo)
Villalpando (Sarpanis Carolus)	Villalpando (Sarpanis Carlos)
Villalva (D. Didaco Francisco)	Villalva (D Didaco Francisco)
Villamino (Fr. Mathiae de)	Villamino (Fr Mathiae de)
Villan (P. Juan)	Villan (P Juan)
Villanoel (Fr. Gaspar de)	Villanoel (Fr Gaspar de)
Villanova (Sancti Thomae à)	Villanova (Sancti Tomás à)
Villanueva (D. D. Joaquin)	Villanueva (D D Joaquin)
Villar (Conde de)	Villar
Villar (D. Miguel Martin del)	Villar (D Miguel Martin del)
Villar Garcia (F. Francisco)	Villar Garcia (F Francisco)
Villar Maldonado (D. Ignacio del)	Villar Maldonado (D Ignacio del)
Villaran (Juan Muñez de)	Villaran (Juan Muñez de)
Villarroel (El Abate)	Villarroel (El Abate)
Villasboar (Antonio de)	Villasboar (Antonio de)
Villasboar Sampayo (Pedro de)	Villasboar Sampayo (Pedro de)
Villasenor (D. José Antonio de)	Villasenor (D José Antonio de)
Villavicentio (R. Laurentius)	Villavicentio (R Laurentius)
Villaviciosa (José de)	Villaviciosa (José de)
Villegas (Antonio)	Villegas (Antonio)
Villegas (D. Diego Enríquez)	Villegas (D Diego Enríquez)
Villegas (D. Francisco de Quevedo)	Villegas (D Francisco de Quevedo)
Villegas (Dr. Esteban Manuel de)	Villegas (Dr Esteban Manuel de)
Villemere (Cav. Bardet de)	Villemere (Cav Bardet de)
Villena (Marques de)	Villena
Vincenti (D. Pedro)	Vincenti (D Pedro)
Vincenti (Placii)	Vincenti (Placii)
Vincentii (Vincentius)	Vincentii (Vincentius)
Vinci (Leonardo de)	Vinci (Leonardo de)
Vinnii (Arnoldi)	Vinnii (Arnoldi)
Vio Cajetani (D. Thomae)	Vio Cajetani (D Tomás)
Viperanii (Foa Ant.)	Viperanii (Foa Ant.)
Virgilio Malvezzi (Marques)	Virgilio Malvezzi
Virgilio (Polidoro)	Virgilio (Polidoro)
Virtungi (Micaelis)	Virtungi (Micaelis)
Vitruvii Pollio (C.)	Vitruvii Pollio (C.)
Viveque Vargel (Oliponciano)	Viveque Vargel (Oliponciano)
Vives (Jo. Ludovici)	Vives (Jo Luis)
Vizcaino Perez (D. Vic.)	Vizcaino Perez (D Vic.)
Vizcay (D. Martin)	Vizcay (D Martin)
Voet (Paul)	Voet (Paul)
Voigtii (Greg.)	Voigtii (Greg.)
Voltaire (M. de)	Voltaire (M de)
Vonfelcele (Joannes)	Vonfelcele (Juan)
Voorda (Jacobi)	Voorda (Jacobo)
Vossi (G. Joan)	Vossi (G Joan)
Votero (Juan de)	Votero (Juan de)
Wadingo (Fr. Luna)	Wadingo (Fr Luna)
Wagenseilii (Joh. Christophori)	Wagenseilii (Joh Christophori)
Wagneri (Fobae)	Wagneri (Fobae)
Wagneri (Jo. Georgii)	Wagneri (Jo Jorge)
Waha (Guilielmi)	Waha (Guilielmi)
Walaeo (Antonii)	Walaeo (Antonio)
Walchii (Ernesti)	Walchii (Ernesti)
Walchii (Jo. Georgii)	Walchii (Jo Jorge)
Walli (Jacobi)	Walli (Jacobo)
Walthenii (Iuani)	Walthenii (Iuani)
Walton (Briani)	Walton (Briani)
Warembergii (Everhardi)	Warembergii (Everhardi)
Wedenhagen (Joannes Angelius)	Wedenhagen (Juan Angelius)
Weidleri (To Trivemici)	Weidleri (To Trivemici)
Weitenauer (Ignacio)	Weitenauer (Ignacio)
Welwood (Guilielmo)	Welwood (Guilielmo)
Wendelini (M. Frid.)	Wendelini (M Frid.)
Wendelino (Gottefridi)	Wendelino (Gottefridi)
Wenento (Thaddaeus)	Wenento (Thaddaeus)
Werembech (Matthei)	Werembech (Matthei)
Werle (Johannes)	Werle (Juan)
Wesseling (Petri)	Wesseling (Pedro)
Westembergii (Joannis)	Westembergii (Joannis)
Weygelsperg (Josepho Antonio)	Weygelsperg (Josepho Antonio)
When. (Oegoxei)	When (Oegoxei)
Wicquefort (Mr. de)	Wicquefort (Mr de)
Wieling (Abrahami)	Wieling (Abrahami)
Willembergi (Samuelis Fid.)	Willembergi (Samuelis Fid.)
Wilson (Chr.)	Wilson (Chr.)
Winter (Jurga Valentino)	Winter (Jurga Valentino)
Wisembachii (Jo)	Wisembachii (Jo)
Witasse (Carol)	Witasse (Carol)
Wittichii (Jacobi)	Wittichii (Jacobo)
Wleii (Herm.)	Wleii (Herm.)
Wolfgangi (Jo.)	Wolfgangi (Jo.)
Wolfii (Jo. Christiani)	Wolfii (Jo Christiani)
Wolfius (Jacob Gabb.)	Wolfius (Jacob Gabb.)
Wucherer (Jo.)	Wucherer (Jo.)
Xerez (Francisco)	Xerez (Francisco)
Ximena (F. Martin de)	Ximena (F Martin de)
Ximenez Barranco (F. Michael)	Ximenez Barranco (F Miguel)
Ximenez de Aragui (Fernando)	Ximenez de Aragui (Fernando)
Ximenez (F. Franc.)	Ximenez (F Franc.)
Ximenez Pathon (Bartholomeus)	Ximenez Pathon (Bartholomeus)
Ximenez (Sebastiano)	Ximenez (Sebastiano)
Ximeno (D. Vicente)	Ximeno (D Vicente)
Xulve (D. Pedro)	Xulve (D Pedro)
Y. Imhoff (Jacobi Wilhelmus)	Y Imhoff (Jacobo Wilhelmus)
Yague de Salas (Juan)	Yague de Salas (Juan)
Yañez (D. Juan)	Yañez (D Juan)
Yañez de Abile (Fr. Pablo)	Yañez de Abile (Fr Pablo)
Yañez Pantoja (Joannis)	Yañez Pantoja (Joannis)
Ycart (Micer Luis Porde)	Ycart (Micer Luis Porde)
Ydiáquez (Francisco)	Ydiáquez (Francisco)
Ydriega (S.H.)	Ydriega (H.)
Yldefonso (Gabriel)	Yldefonso (Gabriel)
Ymhof (Jeron)	Ymhof (Jeron)
Ynchuramio (Curtio)	Ynchuramio (Curtio)
Yriarte (D. Juan)	Yriarte (D Juan)
Yriarte (D. Thomas)	Yriarte (D Tomás)
Yriarte (Francisco Diego)	Yriarte (Francisco Diego)
Ysabel (Capitán Marcos)	Ysabel (Capitán Marcos)
Ysla (Cura)	Ysla (Cura)
Ysla (L. Jph. Fran. D.)	Ysla (L Jph Fran D.)
Ysla (Lázaro de)	Ysla (Lázaro de)
Zabaleta (D. Juan)	Zabaleta (D Juan)
Zacuti (Abrahami)	Zacuti (Abrahami)
Zamellius (Gotofredi)	Zamellius (Gotofredi)
Zamora (Antonio vaner)	Zamora (Antonio vaner)
Zamora (D. Onencio Luis)	Zamora (D Onencio Luis)
Zamora (Lorenzo)	Zamora (Lorenzo)
Zamorano (Lic. Rodrigo)	Zamorano (Lic Rodrigo)
Zannoti (D. Juan)	Zannoti (D Juan)
Zapat (Georgius Guillelmus)	Zapat (Jorge Guillelmus)
Zapata (D. Ant. Lupian)	Zapata (D Ant Lupian)
Zapata (D. Diego)	Zapata (D Diego)
Zapata (D. Luis)	Zapata (D Luis)
Zapata (Fr. Jo.)	Zapata (Fr Jo.)
Zapater (Fr. Miguel Ramon)	Zapater (Fr Miguel Ramon)
Zara (Antonio)	Zara (Antonio)
Zaragoza (Fr. Lamberto de)	Zaragoza (Fr Lamberto de)
Zaragoza (Josepho)	Zaragoza (Josepho)
Zarate (Agustin de)	Zarate (Agustin de)
Zarate (Juan Lopez de)	Zarate (Juan Lopez de)
Zarrera (Fran.)	Zarrera (Fran.)
Zavala (D. Gaspar)	Zavala (D Gaspar)
Zecchio (Laelio)	Zecchio (Laelio)
Zech. (C. C. de)	Zech (C C de)
Zennada y Castro (D. Diego Antonio)	Zennada y Castro (D Diego Antonio)
Zenocaro (Guilielmo)	Zenocaro (Guilielmo)
Zentgravius (Joh. Joachimo)	Zentgravius (Joh Joachimo)
Zepeda, Castro et Gudel (Dr. Franciscus Joseph de)	Zepeda Castro et Gudel (Dr Francisco Joseph de)
Zepeda (D. Alonso de)	Zepeda (D Alonso de)
Zepeda (Lic. Franc.)	Zepeda (Lic Franc.)
Zevallos (F. Pedro Ordóñez)	Zevallos (F Pedro Ordóñez)
Zevallos (Fr. Fernando de)	Zevallos (Fr Fernando de)
Ziegleri (Gasparis)	Ziegleri (Gasparis)
Ziletty (D. Io. Baptista)	Ziletty (D Io Baptista)
Ziletty (Franciscus)	Ziletty (Francisco)
Zimmermanno (D. Mathaeo Wen.)	Zimmermanno (D Mathaeo Wen.)
Zuccoli (Adamus)	Zuccoli (Adamus)
Zuichemi (Vigli)	Zuichemi (Vigli)
Zumoxon (Juan Angel)	Zumoxon (Juan Angel)
Zuniga (D. Baltasar)	Zuniga (D Baltasar)
Zuniga (dic. Juan de)	Zuniga (dic Juan de)
Zuniga (Fr. Diego)	Zuniga (Fr Diego)
Zuniga (Fr. Diego Ortiz)	Zuniga (Fr Diego Ortiz)
Zurita (Severino)	Zurita (Severino)
Zurita y Haro (D. Fernando Tacinto)	Zurita y Haro (D Fernando Tacinto)
Zypaco (Franc.)	Zypaco (Franc.)
